urun_adi,fiyat
"14"" DELL Latitude Laptop: Intel i5! 8GB RAM! 256GB SSD! Zorin Core Edition!",5892.0350100000005
"Lenovo Legion 5 15ARH05, Ryzen 5 4600H, 16GB DDR4, Nividia GTX 1650Ti, 512GB SSD",15371.64
"Dell Latitude 5420 Laptop Intel Core i7-1185G7 32GB RAM 512GB SSD 14"" FHD W11P",16652.18301
"Acer Chromebook 315 - 15.6"" Intel Celeron N4500 4GB RAM 64GB eMMC Refurbished",4269.47301
"2021 Apple M1 Pro MacBook Pro 14"" 16GB/512GB SSD - (Space Gray) A2442 w/Warranty",26472.95301
Dell Latitude 7430 Touch Laptop 14” FHD Core i5 16GB DDR4 RAM 256GB SSD Win 11,14250.36426
Dell Inspiron 15 3511 I3-1115G4 256GB SSD 8GB RAM (No Charger Included) #AW,4269.9
"14"" Dell Latitude Laptop i5 Dual Core  Up To 16GB RAM 1TB HDD Zorin Core Edition",4921.059749999999
Dell Inspiron 15 3511 I3-1115G4 256GB SSD 8GB RAM (No Charger Included) #AW,4269.9
"15.6"" Dell Latitude Laptop: Intel i5 Dual Core! 16GB Ram! 512GB SSD! Windows 10!",8369.003999999999
Toshiba Ultra Light Windows 11 Laptop Computer - Wifi Bluetooth Webcam HDMI SSD,6046.1784
"2021 Apple M1 Pro MacBook Pro 14"" 16GB/512GB SSD - (Space Gray) A2442 w/Warranty",26472.95301
"2025 Lenovo IdeaPad Laptop 15.6"" Intel Dual-Core, 20GB RAM 1TB SSD, 1-Yr MS 365",16609.911
"Dell Latitude 7410 14"" i5-10310U, 16GB, 256GB NVME SSD, Webcam Windows 11 Pro",9778.071
"Acer Aspire 3 15.6"" AMD Ryzen 3 7320U, 8 GB, 128GB SSD, Windows 11 Laptop",9605.14005
"HP - 17.3"" Full HD Laptop - AMD Ryzen 5 7520U 2023 - 8GB Memory - 512GB SSD -...",18360.14301
Lenovo ThinkPad E570 Intel i3-6006U 2.00GHZ 8GB 256gb SSD W11 Charger included *,3373.221
"DELL Latitude 5550 Laptop 15.6"" Core Ultra 7 165U 32GB 512GB SSD Win 11",22416.975
2025 HP Laptop Computer 17.3 10-Core Intel i5 Upto 64GB RAM 2TB SSD Pro Office,21306.801
15.6 IPS FHD Laptop Intel Pentium N100 Backlit keyboard 3.4GHz Windows 11 Wifi 6,14090.24301
